question,answer,grade_level
What is the probability of rolling a sum 7 with two dice?,1/6,high
What is the IUPAC name for CH3CH2OH?,Ethanol,high
Calculate the derivative of sin(x^2).,2x cos(x^2),high
Explain the concept of entropy.,Measure of disorder or randomness in a system; second law states total entropy increases.,high
Balance in acidic medium: Cr2O7^2- + Fe^2+ -> Cr^3+ + Fe^3+.,Cr2O7^2- + 6Fe^2+ + 14H+ -> 2Cr^3+ + 6Fe^3+ + 7H2O,high
What is the domain of f(x)=sqrt(x-1)?,x ≥ 1,high
Explain the Pauli exclusion principle.,No two electrons in an atom can have the same set of four quantum numbers.,high
Solve: log2(x) + log2(x-2) = 3.,x = 4,high
What is the correlation coefficient?,"A measure of linear relationship between two variables, ranges -1 to 1.",high
What is the mechanism of SN1 reaction?,"Two-step: formation of carbocation intermediate, then nucleophilic attack.",high
"Find the eigenvalues of matrix [[2,1],[1,2]].",3 and 1,high
What is the de Broglie wavelength of an electron?,"λ = h/p, where h is Planck's constant and p is momentum.",high
Derive the formula for the sum of first n natural numbers.,n(n+1)/2,high
What is the difference between oxidation and reduction?,"Oxidation: loss of electrons, increase in oxidation state. Reduction: gain of electrons, decrease.",high
Solve for x: 2^(x+1) = 16.,x = 3,high
"Compute the dot product of (3,4) and (5,6).",39,high
Define: equilibrium constant.,"Ratio of product concentrations to reactant concentrations at equilibrium, each raised to stoichiometric coefficients.",high
What is the chain rule?,d/dx f(g(x)) = f'(g(x)) * g'(x),high
Calculate the pH of 0.1 M acetic acid (Ka=1.8e-5).,about 2.87,high
Solve: |x-3| = 5.,x = 8 or x = -2,high
What is the electron configuration of Fe?,[Ar] 3d6 4s2,high
Find the derivative of ln(3x).,1/x,high
What is the principle of superposition in physics?,"When two waves overlap, the resultant displacement is the sum of individual displacements.",high
Compute: ∫ e^(2x) dx.,(1/2)e^(2x) + C,high
What is the Heisenberg uncertainty principle?,It is impossible to simultaneously know both the exact position and momentum of a particle.,high
Solve: x^2 + 4x + 4 = 0.,x = -2 (double root),high
What is the unit of electric potential?,Volt (V),high
Explain the difference between sigma and pi bonds.,"Sigma: end-to-end overlap, single bond; Pi: side-to-side overlap, double/triple bond component.",high
"Calculate the cross product of (1,0,0) and (0,1,0).","(0,0,1)",high
What is the noun in this sentence: The dog ran fast.,dog,elementary
What is the past tense of 'run'?,ran,elementary
Who is the main character in 'The Three Little Pigs'?,the three little pigs,elementary
What does the prefix 'un-' mean?,not or opposite of,elementary
What punctuation mark ends a question?,question mark,elementary
What is the subject in this sentence: The cat sat on the mat.,cat,elementary
What is a verb in this sentence: She jumps high.,jumps,elementary
What does 'rainbow' mean?,an arc of colors in the sky,elementary
What is a fairy tale?,a story with magic and make-believe,elementary
What does the word 'begin' mean?,to start,elementary
What is the main idea of a passage?,what the passage is mostly about,elementary
What is an adjective in this sentence: The red car is fast.,red,elementary
What is the opposite of 'hot'?,cold,elementary
What is a character?,a person or animal in a story,elementary
What is the first word in a sentence usually followed by?,a capital letter,elementary
What does the word 'gentle' mean?,soft and kind,elementary
What is the setting of 'Goldilocks and the Three Bears'?,a house in the woods,elementary
What is the verb in this sentence: The bird sings.,sings,elementary
What is a synonym for 'big'?,large,elementary
What does the word 'excited' mean?,very happy about something,elementary
What is the opposite of 'light'? (as in weight),heavy,elementary
What is a pronoun that can replace 'the cat'?,it,elementary
What does the word 'shiny' mean?,"reflects light, bright",elementary
What is the problem in a story often called?,conflict,elementary
What is an adverb in this sentence: He runs quickly.,quickly,elementary
What is the past tense of 'play'?,played,elementary
What does the word 'curious' mean?,eager to learn or know,elementary
What is a homophone for 'sea'?,see,elementary
What is the main character in 'Cinderella'?,Cinderella,elementary
What is a compound word in: The butterfly is pretty.,butterfly,elementary
What does the word 'friendly' mean?,kind and pleasant,elementary
What is a story with made-up events called?,fiction,elementary
What does the word 'enormous' mean?,very big,elementary
What is a conjunction in this sentence: I like cats and dogs.,and,elementary
What is the antonym of 'hard'? (as in difficult),easy,elementary
What does the word 'delightful' mean?,very pleasing,elementary
What is the setting of 'The Tortoise and the Hare'?,a forest or path,elementary
"What is a word that sounds like what it means, like 'buzz'?",onomatopoeia,elementary
What does the word 'ancient' mean?,very old,elementary
What is the moral of 'The Boy Who Cried Wolf'?,"Don't lie, or no one will believe you.",elementary
What is the adjective in: The tall man smiled.,tall,elementary
What is a synonym for 'difficult'?,hard,middle
What is the theme of a story?,the central message or lesson,middle
What is a subordinate clause?,a clause that cannot stand alone as a sentence,middle
What is a metaphor? Give an example.,"a comparison without 'like' or 'as'; e.g., 'Time is a thief.'",middle
What is the prefix in 'bicycle' and what does it mean?,bi- means two,middle
What is the difference between a simile and a metaphor?,Simile uses 'like' or 'as'; metaphor does not.,middle
What is an antonym for 'cautious'?,reckless,middle
What does the word 'ambiguous' mean?,having more than one meaning,middle
What is personification?,giving human qualities to non-human things,middle
What is the main conflict in 'The Giver'?,man vs. society (against conformity),middle
What is a synonym for 'persevere'?,persist,middle
What is the past participle of 'write'?,written,middle
What is the difference between 'its' and 'it's'?,Its is possessive; it's is contraction of it is.,middle
What is a dynamic character?,a character who changes over time,middle
What is the tone of a text?,the author's attitude toward the subject,middle
What is the root meaning of 'aud' as in 'audible'?,hear,middle
What is an allusion? Give an example.,"reference to a well-known person or work; e.g., 'He has a Herculean task.'",middle
What is the difference between 'stationary' and 'stationery'?,Stationary means not moving; stationery is writing paper.,middle
What is the climax of a story?,the turning point of highest tension,middle
What is a synonym for 'verbose'?,wordy,middle
What is an adverbial phrase?,a group of words acting as an adverb,middle
What does the suffix '-ology' mean?,the study of,middle
What is the difference between 'denotation' and 'connotation'?,Denotation is literal meaning; connotation is emotional association.,middle
What is a syllogism?,a logical argument with two premises and a conclusion,middle
What is the theme of 'The Outsiders'?,class conflict and the need for belonging,middle
What is a synonym for 'nonchalant'?,"casual, indifferent",middle
What is the difference between 'then' and 'than'?,Then refers to time; than compares.,middle
What is a paradox? Give an example.,"a contradictory statement that may be true; e.g., 'Less is more.'",middle
What is the mood of a story?,the emotional feeling the reader gets,middle
What does the prefix 'pre-' mean?,before,middle
What is a compound-complex sentence?,a sentence with two or more independent clauses and one dependent clause,middle
What is the difference between 'imply' and 'infer'?,Speaker implies; listener infers.,middle
What is the main idea of the poem 'The Road Not Taken'?,choices and their impact on life,middle
What is an anecdote?,"a short, personal story",middle
What is a synonym for 'pragmatic'?,practical,middle
What is the difference between 'your' and 'you're'?,Your is possessive; you're is contraction of you are.,middle
What is the resolution of a story?,"the end, where conflicts are resolved",middle
What does the word 'ephemeral' mean?,short-lived,middle
What is a semicolon used for?,to connect two independent clauses,middle
What is a synonym for 'malevolent'?,evil,middle
What is an aside in literature?,a character's comment to the audience,middle
What is the root of 'benevolent' and what does it mean?,bene means good,middle
What is the setting of 'To Kill a Mockingbird'?,"Maycomb, Alabama, during the Great Depression",middle
What is a polysyndeton? Give an example.,"using many conjunctions; e.g., 'I ran and jumped and laughed.'",middle
What is an antonym for 'eloquent'?,inarticulate,middle
What is the function of a dash?,to indicate a break or emphasis,middle
What is a synonym for 'ubiquitous'?,everywhere,middle
What is an epithet?,"a descriptive phrase for a person, e.g., 'Alexander the Great'",middle
What is the difference between 'accept' and 'except'?,Accept means receive; except means excluding.,middle
What is a round character?,"a complex, multi-dimensional character",middle
What is the denouement?,the final outcome after the climax,middle
What does 'antebellum' mean?,before the war (especially US Civil War),high
What is a zeugma? Give an example.,"a figure of speech where a word applies to two others in different senses; e.g., 'She took my advice and my wallet.'",high
What is the difference between 'disinterested' and 'uninterested'?,Disinterested means impartial; uninterested means not interested.,high
What is synecdoche? Give an example.,"a part represents the whole; e.g., 'All hands on deck.'",high
What is a hamartia in Greek tragedy?,a tragic flaw leading to downfall,high
What is the purpose of a caesura in poetry?,a pause in a line to create rhythm or emphasis,high
What is an enjambment?,the continuation of a sentence without pause beyond a line of poetry,high
What is a paradox in literature? Give a famous example.,"a statement that contradicts itself but reveals truth; e.g., 'I must be cruel only to be kind.' (Hamlet)",high
What is the difference between 'flaunt' and 'flout'?,Flaunt means show off; flout means disregard rules.,high
What is a liminal space in literature?,a transitional or in-between state,high
What is the 'pathetic fallacy'?,attributing human emotions to nature,high
What is the function of a foil character?,to contrast with another character,high
What is anagnorisis in Greek drama?,a moment of critical discovery,high
What is a connotation of 'slim' versus 'skinny'?,Slim is positive; skinny is negative.,high
What is a neologism? Give an example.,"a newly coined word; e.g., 'cyberspace'",high
What is the difference between 'comprise' and 'compose'?,Comprise means include; compose means make up.,high
What is a macguffin in film/literature?,an object that drives the plot but is unimportant itself,high
What is the 'unreliable narrator'? Give an example.,"a narrator whose credibility is compromised; e.g., Holden Caulfield",high
What is anaphora? Give an example.,"repetition of a word at the start of successive clauses; e.g., 'I have a dream...'",high
What is the difference between 'envy' and 'jealousy'?,Envy is wanting what another has; jealousy is fear of losing something.,high
What is a soliloquy? Compare to a monologue.,Soliloquy is a character speaking to self; monologue is to others.,high
What is chiasmus? Give an example.,"reversal of structure in phrases; e.g., 'Never let a fool kiss you, never a kiss fool you.'",high
What is the 'stream of consciousness' technique?,"writing that flows from mind, often chaotic",high
What is a motif? Differentiate from theme.,Motif is a recurring symbol; theme is the central idea.,high
What is ellipsis in grammar?,"omission of words for brevity, indicated by ...",high
What is the difference between 'allusion' and 'illusion'?,Allusion is a reference; illusion is a false perception.,high
What is a dactyl in poetry meter?,a stressed syllable followed by two unstressed,high
What is metonymy? Give an example.,"substitution of a related term; e.g., 'The pen is mightier than the sword.'",high
What is a bildungsroman? Give an example.,"a coming-of-age novel; e.g., 'The Catcher in the Rye'",high
What is anaphora? Already used? Let's do epistrophe.,"repetition at the end of clauses; e.g., 'of the people, by the people, for the people'",high
What is the difference between 'farther' and 'further'?,Farther for physical distance; further for metaphorical.,high
What is a caesura? Already used.,a pause in a line of poetry,high
What is a kenning? Give an example.,"compound expression in Old English; e.g., 'whale-road' for sea",high
What is the 'pathetic fallacy'? Already used.,attributing human emotions to nature,high
What is a 'red herring' in literature?,a misleading clue,high
What is a 'catharsis' in Aristotle's Poetics?,the emotional release of pity and fear,high
What is 'in medias res'?,starting a story in the middle of action,high
What is a 'hamartia'? Already used.,tragic flaw,high
What is 'ekphrasis'?,a vivid description of a work of art,high
What is a 'dictator' in grammar? Not. Correct: 'diction'?,word choice,high
What is the difference between 'infer' and 'imply'? Already used.,Speaker implies; listener infers.,high
What is a 'portmanteau'? Give an example.,"a word blending sounds and meanings; e.g., 'brunch' (breakfast+lunch)",high
What is 'litotes'? Give an example.,"understatement using double negatives; e.g., 'not bad' for good",high
What is 'aposiopesis'?,a sudden break in speech,high
What is 'epistolary' novel?,a novel written as letters,high
What is 'verisimilitude'?,appearance of truth,high
What is 'kinesics'?,the study of body language,high
What is 'mise en scene' in literary analysis?,the arrangement of scene elements,high
What is 'allegory'? Give an example.,"a story with symbolic meaning; e.g., 'Animal Farm'",high
What is 'hubris'?,excessive pride leading to downfall,high
What is 'truncation' in linguistics?,shortening a word,high
Name one food that is high in protein.,Chicken.,elementary
Why should you wash your hands before eating?,To remove germs.,elementary
What does a traffic light with a red light mean?,Stop.,elementary
Name a sport played with a ball and a bat.,Baseball.,elementary
What is the color of a ripe banana?,Yellow.,elementary
What does a refrigerator do?,Keeps food cold.,elementary
Name a type of fruit that is red.,Apple.,elementary
What do you use to brush your teeth?,Toothbrush.,elementary
Name a vegetable that is green.,Broccoli.,elementary
What does a clock measure?,Time.,elementary
Name a sport played in water.,Swimming.,elementary
What do you use to write on paper?,A pencil.,elementary
What is a healthy snack?,Apple.,elementary
What does a teacher do?,Teaches students.,elementary
Name one type of weather.,Rain.,elementary
What is the color of grass?,Green.,elementary
What does a stove do?,Cooks food.,elementary
Name a body part used for seeing.,Eyes.,elementary
What is the first day of the week?,Sunday.,elementary
Name a drink that is good for your bones.,Milk.,elementary
What does a firefighter do?,Puts out fires.,elementary
Name a game where you use a racquet.,Tennis.,elementary
What is the color of the sky on a clear day?,Blue.,elementary
How many wheels does a bicycle have?,Two.,elementary
What does a doctor do?,Helps sick people.,elementary
Name a food that comes from a cow.,Milk.,elementary
What does a library have?,Books.,elementary
Name a holiday celebrated in December.,Christmas.,elementary
What does a phone do?,Lets you talk to people far away.,elementary
Name a shape with three sides.,Triangle.,elementary
What is the main ingredient in a salad?,Lettuce.,elementary
What does a police officer do?,Keeps people safe.,elementary
Name a sport where you kick a ball.,Soccer.,elementary
What is the color of snow?,White.,elementary
What does a baker do?,Makes bread and cakes.,elementary
Name a fruit that is orange.,Orange.,elementary
What does a computer do?,Processes information.,elementary
Name a tool used for cutting paper.,Scissors.,elementary
What is a common pet that says 'meow'?,Cat.,elementary
Name a vegetable that is orange.,Carrot.,elementary
What does a farmer do?,Grows food.,elementary
Name a type of bird that can fly.,Eagle.,elementary
Name a liquid that we drink to stay hydrated.,Water.,elementary
Compare the nutritional value of an apple and a candy bar.,"An apple has more fiber and vitamins, while a candy bar has more sugar and fat.",middle
Explain why athletes stretch before exercise.,"Stretching increases blood flow to muscles, improves flexibility, and reduces the risk of injury.",middle
Why is it important to recycle plastic?,"Recycling reduces waste in landfills, conserves resources, and decreases pollution from producing new plastic.",middle
Compare the roles of a coach and a referee in sports.,A coach trains and guides the team; a referee enforces the rules and ensures fair play.,middle
Explain the concept of calories in food.,Calories measure the energy food provides; the body uses this energy for daily activities and metabolism.,middle
What is the purpose of the Dietary Guidelines for Americans?,To provide advice on healthy eating patterns to promote health and prevent chronic diseases.,middle
How does a smartphone connect to the internet?,It uses cellular data (4G/5G) or Wi-Fi to send and receive data through radio waves.,middle
Compare the benefits of aerobic exercise and strength training.,Aerobic exercise improves cardiovascular health and endurance; strength training builds muscle and bone density.,middle
Why is hand washing important in preventing illness?,"It removes germs picked up from surfaces, reducing the chance of infection when touching your face or food.",middle
Explain how a solar panel works.,"Solar panels contain photovoltaic cells that convert sunlight into direct current (DC) electricity, which is then converted to AC for use.",middle
What is the function of fiber in the diet?,"Fiber aids digestion, helps prevent constipation, and can lower cholesterol and blood sugar levels.",middle
Compare tap water and bottled water.,Tap water is cheaper and regulated by EPA; bottled water is convenient but can be less sustainable due to plastic waste.,middle
How does a heart rate monitor work?,It uses sensors to detect electrical signals from the heart or changes in blood volume to measure pulse rate.,middle
Why do some foods have expiration dates?,To indicate the period when the food is expected to be at its best quality and safe to eat.,middle
Explain the purpose of a food label.,"It provides information on ingredients, nutritional content, and serving sizes to help consumers make informed choices.",middle
What is the role of carbon dioxide in climate change?,"CO2 is a greenhouse gas that traps heat in the atmosphere, leading to global warming and climate change.",middle
Compare the energy sources: renewable and non-renewable.,Renewable sources like solar and wind are abundant and sustainable; non-renewable sources like coal and oil are limited and produce pollution.,middle
How does an electric car differ from a gasoline car?,"An electric car runs on a battery-powered motor, producing zero tailpipe emissions, while a gasoline car uses an internal combustion engine and emits pollutants.",middle
Why is it important to have a balanced diet?,"To provide all necessary nutrients for growth, energy, and maintenance of body functions.",middle
Explain how a Wi-Fi network works.,A router connected to the internet transmits data via radio waves; devices with Wi-Fi receivers can connect to the network.,middle
What is the difference between a cold and the flu?,Colds usually cause mild symptoms like runny nose; flu causes more severe symptoms like high fever and body aches.,middle
How does a GPS determine your location?,It uses signals from satellites to triangulate your position based on the time it takes for signals to reach your device.,middle
Compare organic and conventional farming.,Organic farming avoids synthetic pesticides and fertilizers; conventional farming uses them for higher yields.,middle
What is the importance of drinking water during exercise?,"To replace fluids lost through sweat, maintain hydration, and regulate body temperature.",middle
Explain how a battery works.,"A battery uses chemical reactions to generate electrons that flow from the negative to the positive terminal, producing electric current.",middle
What is the function of a thermostat?,It controls heating or cooling systems to maintain a set temperature by turning them on or off.,middle
Compare the effects of saturated and unsaturated fats on health.,"Saturated fats can raise LDL cholesterol, increasing heart disease risk; unsaturated fats can improve cholesterol levels.",middle
How does a smoke detector work?,"It uses an ionization chamber or photoelectric sensor to detect smoke particles, triggering an alarm.",middle
Explain why exercise elevates heart rate.,Muscles need more oxygen during activity; the heart pumps faster to deliver oxygen-rich blood.,middle
What is the purpose of pasteurization?,"To heat food, especially milk, to kill harmful bacteria without affecting taste or nutrition.",middle
How does a touchscreen work?,"It uses a capacitive or resistive layer that senses the electrical properties of a finger or stylus, registering touch.",middle
Why is sleep important for health?,"It allows the body to repair, supports brain function, and strengthens the immune system.",middle
Compare the nutritional profiles of whole wheat and white bread.,"Whole wheat bread has more fiber, vitamins, and minerals; white bread is made from refined flour with less fiber.",middle
How does a air conditioner cool a room?,It uses a refrigeration cycle: refrigerant absorbs heat from indoor air and releases it outdoors.,middle
What is the role of antioxidants in the body?,"They neutralize free radicals, which can damage cells and contribute to aging and diseases.",middle
Explain how a camera captures an image.,"Light enters through the lens, is focused onto a sensor, which converts it into digital data (or onto film).",middle
Why is it recommended to limit added sugar intake?,"Excess sugar can lead to weight gain, tooth decay, and increased risk of chronic diseases like diabetes.",middle
How does a hybrid car save fuel?,It uses a gasoline engine and an electric motor; the motor assists during acceleration and recovers energy during braking.,middle
Compare the benefits of team sports and individual sports.,Team sports build teamwork and communication skills; individual sports develop self-discipline and personal accountability.,middle
What is the function of a fuse in an electrical circuit?,"It breaks the circuit if too much current flows, preventing damage or fire.",middle
Explain why the ocean is important for the planet.,"It regulates climate, provides oxygen, supports biodiversity, and is a source of food and resources.",middle
How does a 3D printer create objects?,"It builds layers of material (e.g., plastic) based on a digital model, gradually forming a three-dimensional object.",middle
Why are vaccines important for public health?,"They prevent the spread of infectious diseases, protect individuals, and contribute to herd immunity.",middle
Compare whole foods and processed foods.,"Whole foods are minimally processed and retain nutrients; processed foods often have added sugars, fats, and preservatives.",middle
How does a microwave oven heat food?,"It emits microwaves that cause water molecules in food to vibrate, producing heat.",middle
Explain the concept of BMI (Body Mass Index).,"BMI is a measure of body fat based on height and weight; it helps categorize underweight, normal, overweight, or obese.",middle
Why is biodiversity important for ecosystems?,"It ensures stability, resilience, and provides essential services like pollination and nutrient cycling.",middle
Analyze the impact of screen time on adolescent sleep patterns.,"Exposure to blue light from screens suppresses melatonin production, delaying sleep onset and reducing sleep quality, which can affect cognitive function and mood.",high
Evaluate the effectiveness of mRNA vaccines compared to traditional vaccines.,"mRNA vaccines can be developed rapidly, elicit strong immune responses, and have high efficacy, but require ultra-cold storage; traditional vaccines often use weakened pathogens and have longer-established safety profiles.",high
Discuss the role of gut microbiota in overall health.,"Gut microbiota aid digestion, produce vitamins, regulate immune function, and influence mental health; imbalances are linked to obesity, inflammatory diseases, and depression.",high
Compare the nutritional biochemistry of ketogenic and Mediterranean diets.,"Keto is high-fat, low-carb, inducing ketosis for fat burning; Mediterranean is rich in unsaturated fats, fiber, and antioxidants, associated with cardiovascular benefits.",high
How does CRISPR gene editing work and what are its potential applications in medicine?,"CRISPR uses a guide RNA to target specific DNA sequences and Cas9 enzyme to cut the DNA, allowing gene modification; applications include treating genetic disorders and cancer.",high
Explain the mechanism of antibiotic resistance and its public health implications.,"Bacteria mutate or acquire resistance genes; overuse of antibiotics selects for resistant strains, leading to superbugs that are harder to treat, increasing mortality and healthcare costs.",high
Analyze the ethical considerations of using performance-enhancing drugs in sports.,"They give unfair advantage, pose health risks, violate the spirit of fair competition, and set harmful examples for athletes; but some argue for medical exemptions.",high
Discuss the relationship between socioeconomic status and access to healthy food.,"Lower-income areas often have fewer supermarkets (food deserts), higher fast food density, and limited access to fresh produce, leading to poorer diets and higher obesity rates.",high
Evaluate the pros and cons of renewable energy sources like solar and wind.,"Pros: sustainable, reduce emissions, job creation. Cons: intermittent, require storage, land use, and initial costs.",high
Explain how artificial neural networks are used in medical diagnosis.,"Neural networks can analyze medical images (e.g., X-rays) to detect patterns indicative of diseases, improving accuracy and speed, but require large datasets and may have biases.",high
Analyze the impact of social media on mental health among teenagers.,"Social media can cause anxiety, depression, and poor self-esteem due to comparison, cyberbullying, and reduced face-to-face interaction, but also offers support communities.",high
Discuss the physiological effects of caffeine on the human body.,"Caffeine blocks adenosine receptors, reducing fatigue; it increases dopamine and norepinephrine, improving alertness, but can cause dependence, insomnia, and increased heart rate.",high
Compare the environmental footprints of plant-based and animal-based diets.,"Plant-based diets require less land, water, and energy, and produce fewer greenhouse gases than animal-based diets, which are resource-intensive.",high
How does intermittent fasting affect metabolism and health?,"Intermittent fasting can improve insulin sensitivity, promote fat loss, and induce cellular repair (autophagy), but may cause nutrient deficiencies if not balanced.",high
Explain the concept of herd immunity and its implications for vaccination policies.,"Herd immunity occurs when a large portion of a population is immune, reducing spread; vaccination is key to achieve it without high disease burden, but requires high coverage.",high
Discuss the role of inflammation in chronic diseases such as heart disease and diabetes.,"Chronic inflammation contributes to atherosclerosis, insulin resistance, and other conditions, involving immune cells and cytokines; lifestyle factors like diet and exercise modulate inflammation.",high
Evaluate the effectiveness of telemedicine in improving healthcare access.,"Telemedicine increases access for rural patients, reduces travel time, and allows remote monitoring, but faces barriers like technology literacy, privacy concerns, and lack of physical exams.",high
Compare the mechanisms of action of different classes of antidepressants (SSRIs vs. MAOIs).,"SSRIs block serotonin reuptake, increasing serotonin in synapses; MAOIs inhibit monoamine oxidase, preventing breakdown of neurotransmitters, but have dietary restrictions.",high
Analyze the economic and environmental implications of fracking for natural gas.,"Fracking provides cheaper energy and reduces coal use, but risks groundwater contamination, earthquakes, and methane leakage, which contributes to climate change.",high
How does the gut-brain axis influence mood and behavior?,"The gut microbiome communicates via neural, endocrine, and immune pathways; imbalances can affect neurotransmitter production (e.g., serotonin), impacting mood and stress responses.",high
Discuss the concept of 'food deserts' and potential solutions.,"Food deserts are areas with limited access to affordable nutritious food; solutions include community gardens, mobile markets, and incentives for grocery stores to open.",high
Explain how wearable fitness trackers work and their accuracy.,"They use accelerometers, heart rate sensors, and algorithms to estimate steps, calories, and sleep; accuracy varies, often less reliable for non-steady activities.",high
Evaluate the risks and benefits of using GMOs in agriculture.,"GMOs can increase yield, pest resistance, and nutrition, but raise concerns about allergenicity, gene flow, and corporate control of seeds.",high
How does the body regulate blood sugar levels?,The pancreas releases insulin to lower blood sugar and glucagon to raise it; hormones and liver function maintain homeostasis; dysregulation leads to diabetes.,high
Analyze the impact of climate change on global food security.,"Climate change alters weather patterns, reduces crop yields, increases pests, and affects water availability, threatening food production in vulnerable regions.",high
Discuss the role of exercise in preventing osteoporosis.,"Weight-bearing and resistance exercises stimulate bone formation and increase bone density, reducing the risk of fractures; lack of exercise accelerates bone loss.",high
Compare the mechanisms of action of acetaminophen and ibuprofen.,"Acetaminophen primarily inhibits COX enzymes in the brain for pain relief and fever reduction; ibuprofen is an NSAID that inhibits COX peripherally, reducing inflammation.",high
Explain how quantum computing could impact drug discovery.,"Quantum computers can simulate molecular interactions at a quantum level, speeding up identification of drug candidates and reducing trial-and-error in development.",high
Evaluate the long-term health effects of vaping compared to smoking.,"Vaping may reduce exposure to some carcinogens, but still delivers nicotine and harmful chemicals; long-term effects are uncertain, but evidence suggests lung damage and addiction.",high
"Discuss the cultural significance of traditional fermented foods (e.g., kimchi, yogurt).","Fermented foods are rooted in preservation methods, enhance flavor, and provide probiotics; they often have cultural identity and are linked to health benefits.",high
How does the concept of 'ultra-processed foods' relate to obesity epidemics?,"Ultra-processed foods are energy-dense, high in sugar and unhealthy fats, and low in fiber; they promote overeating due to hyper-palatability and disrupt satiety signals.",high
Analyze the ethical implications of gene editing in human embryos.,"It could prevent genetic diseases, but raises concerns about eugenics, consent, unintended consequences, and inequality if only available to the wealthy.",high
Compare the nutritional needs of endurance athletes and strength athletes.,"Endurance athletes require more carbohydrates for sustained energy and hydration; strength athletes need higher protein for muscle repair and growth, with moderate carbs.",high
Explain the role of myoglobin in muscle function.,"Myoglobin stores oxygen in muscle cells, facilitating oxygen delivery during intense activity; it acts as a buffer, maintaining cellular respiration.",high
Discuss the impact of microplastics on human health.,"Microplastics can enter the body through ingestion and inhalation, potentially causing inflammation, oxidative stress, and toxicity; long-term effects are still being studied.",high
Evaluate the effectiveness of mindfulness meditation for stress reduction.,"Mindfulness reduces cortisol levels, improves emotional regulation, and decreases symptoms of anxiety and depression; effectiveness depends on regular practice.",high
How does the concept of 'energy balance' relate to weight management?,"Energy balance is calories consumed vs. expended; a positive balance leads to weight gain, negative to loss; factors like metabolism and physical activity affect it.",high
Analyze the role of saturated fat in heart disease risk.,"Saturated fat can raise LDL cholesterol, a risk factor for atherosclerosis; however, its impact may be modified by overall diet and individual metabolism.",high
Discuss the importance of the Paris Agreement in global climate policy.,"It unites nations to limit global warming to well below 2°C, sets emission reduction targets, and promotes adaptation; challenges include enforcement and political commitment.",high
Explain how the human immune system distinguishes self from non-self.,"Immune cells recognize antigens via receptors; self-reactive cells are eliminated during development, and regulatory mechanisms prevent autoimmunity.",high
Compare the cardiovascular responses to aerobic vs. anaerobic exercise.,"Aerobic exercise increases heart rate and stroke volume steadily; anaerobic exercise causes rapid heart rate spikes and relies on glycolysis, leading to lactate buildup.",high
Evaluate the trade-offs between nuclear power and other low-carbon energy sources.,"Nuclear provides consistent, low-carbon energy but poses waste disposal and accident risks; solar and wind are renewable but intermittent, requiring storage.",high
Discuss the role of the Food and Drug Administration (FDA) in ensuring drug safety.,"The FDA reviews clinical trial data, approves drugs for safety and efficacy, and monitors post-market adverse events; critics note delays in approval and limited post-market oversight.",high
How does the body adapt to high-altitude environments?,"Increased breathing rate, higher red blood cell production, and more capillaries improve oxygen delivery; acute mountain sickness can occur if ascent is too rapid.",high
Analyze the impact of artificial intelligence on employment in the healthcare sector.,"AI can automate diagnostic tasks, increase efficiency, but may displace jobs like radiology; it also creates new roles in data analysis and algorithm development.",high
Explain the phenomenon of 'sugar high' and whether it is scientifically supported.,"The 'sugar high' (hyperactivity after sugar consumption) is largely not supported; sugar may provide a quick energy spike, but behavioral effects are minimal.",high
Discuss the physiological basis for the 'runner's high'.,"Endorphins and endocannabinoids are released during prolonged exercise, producing feelings of euphoria and pain reduction, mediated by the brain's reward system.",high
Evaluate the pros and cons of universal healthcare systems.,"Universal healthcare provides access to all and lowers administrative costs, but may lead to longer wait times and higher taxes; outcomes vary by system design.",high
How does chronic stress affect the cardiovascular system?,"Chronic stress elevates cortisol and blood pressure, promotes inflammation, and increases risk of hypertension, heart attack, and stroke.",high
Compare the efficacy of different types of exercise for depression relief.,"Aerobic exercise consistently reduces depressive symptoms; yoga and strength training also show benefits, likely due to endorphin release and neurogenesis.",high
Analyze the role of saturated vs. unsaturated fats in cell membrane function.,"Unsaturated fats increase membrane fluidity, while saturated fats make membranes more rigid; proper balance is essential for cell signaling and transport.",high
Explain the concept of 'antimicrobial resistance' as a global health threat.,"Misuse of antibiotics selects for resistant bacteria, leading to infections that are harder to treat; it threatens modern medicine (e.g., surgery, chemotherapy).",high
Discuss the ethical considerations of mandatory vaccination policies.,"Mandatory policies protect public health but infringe on individual autonomy; exemptions may be allowed for medical reasons, but personal beliefs raise debates.",high
How does the circadian rhythm influence metabolism?,"Circadian clocks regulate hormone secretion, digestion, and energy expenditure; disruptions from shift work or light exposure can lead to metabolic disorders.",high
Evaluate the impact of food advertising on childhood obesity.,"Advertising for high-sugar, high-fat foods increases consumption and preferences; regulations and media literacy are needed to mitigate effects.",high
Compare the mechanisms of CRISPR-Cas9 and TALEN in gene editing.,"Both use targeted nucleases; CRISPR is simpler and more efficient, guided by RNA; TALEN uses protein-based DNA binding domains, but is more time-consuming.",high
Discuss the role of epigenetics in human health.,"Epigenetic modifications (DNA methylation, histone changes) affect gene expression without altering DNA sequence; influenced by diet, stress, and environment, linked to disease.",high
Analyze the relationship between income inequality and health outcomes.,"Greater income inequality correlates with lower life expectancy and higher morbidity, likely due to stress, reduced access to healthcare, and unhealthy environments.",high
